name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Bradley,LIV,DEF,5.0,Doubtful,744,41,3,2.2,0.3
Gomez,LIV,DEF,5.0,Doubtful,517,14,0,1.6,0.1
Tsimikas,LIV,DEF,5.0,Available,829,43,3,2.4,0.1
Nallo,LIV,DEF,4.0,Available,0,0,0,0.0,0.1
R.Williams,LIV,DEF,4.0,Available,0,0,0,0.0,0.2
Ramsay,LIV,DEF,4.0,Available,0,0,0,0.0,0.2
M.Salah,LIV,MID,14.5,Available,3374,344,55,9.1,53.6
Wirtz,LIV,MID,8.5,Available,0,0,0,0.0,34.6
Luis Díaz,LIV,MID,8.0,NotAvail,2393,183,21,5.1,0.4
Gakpo,LIV,MID,7.5,Available,1921,127,22,3.6,6.2
Chiesa,LIV,MID,6.5,Available,103,7,0,1.2,0.1
Mac Allister,LIV,MID,6.5,Available,2597,122,8,3.5,1.5
Szoboszlai,LIV,MID,6.5,Available,2485,143,14,4.0,2.0
C.Jones,LIV,MID,5.5,Available,1702,87,4,2.6,0.1
Elliott,LIV,MID,5.5,Available,359,33,3,1.8,0.2
Gravenberch,LIV,MID,5.5,Suspended,3160,92,1,2.5,0.1
Doak,LIV,MID,5.0,Available,0,0,0,0.0,0.0
Endo,LIV,MID,5.0,Available,259,21,0,1.1,0.1
Bajcetic,LIV,MID,4.5,Available,0,0,0,0.0,0.1
McConnell,LIV,MID,4.5,Available,0,0,0,0.0,0.0
Morton,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.0
Nyoni,LIV,MID,4.5,Available,0,0,0,0.0,0.1
Darwin,LIV,FWD,6.5,NotAvail,1113,66,6,2.2,0.7
Danns,LIV,FWD,4.5,Available,10,1,0,1.0,0.2
Ekitiké,LIV,FWD,8.5,Available,0,0,0,0.0,11.8
Trafford,MCI,GKP,5.0,Available,0,0,0,0.0,2.5
Ederson M.,MCI,GKP,5.5,Available,2320,111,9,4.3,3.6
Ortega Moreno,MCI,GKP,5.0,Available,1099,35,0,2.7,0.4
Bettinelli,MCI,GKP,4.0,Available,0,0,0,0.0,0.2
Aït-Nouri,MCI,DEF,6.0,Available,3112,125,13,3.4,21.8
Gvardiol,MCI,DEF,6.0,Available,3278,153,15,4.1,16.8
Akanji,MCI,DEF,5.5,Available,2012,61,1,2.3,0.7
Aké,MCI,DEF,5.5,Available,677,25,0,2.5,0.6
Khusanov,MCI,DEF,5.5,Available,503,14,0,2.3,0.4
Matheus N.,MCI,DEF,5.5,Available,1670,81,6,3.1,0.5
Rúben,MCI,DEF,5.5,Available,2269,90,7,3.3,2.6
Stones,MCI,DEF,5.5,Available,544,29,2,2.6,0.5
Lewis,MCI,DEF,5.0,Available,1888,66,1,2.4,0.7
O’Reilly,MCI,DEF,5.0,Available,525,31,4,3.4,0.2
Vitor Reis,MCI,DEF,5.0,NotAvail,1,1,0,1.0,0.0
Marmoush,MCI,MID,8.5,Available,1174,73,12,4.6,12.9
Foden,MCI,MID,8.0,Doubtful,1771,105,10,3.8,2.0
Savinho,MCI,MID,7.0,Available,1760,106,15,3.7,1.8
Bernardo,MCI,MID,6.5,Available,2667,110,13,3.3,0.7
Cherki,MCI,MID,6.5,Available,0,0,0,0.0,7.7
Doku,MCI,MID,6.5,Available,1506,88,3,3.0,1.1
Grealish,MCI,MID,6.5,Available,710,38,4,1.9,1.8
Gündoğan,MCI,MID,6.5,Available,2218,97,5,2.9,0.2
Rodrigo,MCI,MID,6.5,Doubtful,72,3,0,1.0,0.9
Kovačić,MCI,MID,6.0,Injured,2194,109,13,3.5,0.0
N.Gonzalez,MCI,MID,6.0,Available,760,31,0,2.8,0.1
Bobb,MCI,MID,5.5,Available,14,3,0,1.0,0.1
Echeverri,MCI,MID,5.5,Available,5,1,0,1.0,0.0
McAtee,MCI,MID,5.5,Available,340,31,0,2.1,0.1
Reijnders,MCI,MID,5.5,Available,0,0,0,0.0,11.7
Nypan,MCI,MID,5.0,Available,0,0,0,0.0,0.1
Phillips,MCI,MID,5.0,Available,1231,27,0,1.4,0.1
Haaland,MCI,FWD,14.0,Available,2736,181,26,5.8,22.5
Mbeumo,MUN,MID,8.0,Available,3415,236,29,6.2,16.0
Bayindir,MUN,GKP,5.0,Available,360,8,0,2.0,0.4
Onana,MUN,GKP,5.0,Doubtful,3060,120,8,3.5,0.1
Harrison,MUN,GKP,4.0,NotAvail,0,0,0,0.0,0.0
Heaton,MUN,GKP,4.0,Available,0,0,0,0.0,0.4
Mee,MUN,GKP,4.0,Available,0,0,0,0.0,0.1
De Ligt,MUN,DEF,5.0,Available,2119,68,3,2.3,1.2
Martinez,MUN,DEF,5.0,Injured,1751,68,5,3.4,0.4
Mazraoui,MUN,DEF,5.0,Doubtful,2836,88,5,2.4,0.7
D.Leon,MUN,DEF,4.5,Available,0,0,0,0.0,0.1
Dalot,MUN,DEF,4.5,Available,2812,95,9,2.9,2.5
Dorgu,MUN,DEF,4.5,Available,840,18,1,1.5,6.4
Maguire,MUN,DEF,4.5,Available,1751,48,3,1.8,0.7
Shaw,MUN,DEF,4.5,Available,346,5,0,0.7,0.2
Yoro,MUN,DEF,4.5,Available,1160,22,0,1.0,1.3
Amass,MUN,DEF,4.0,Available,345,4,0,0.8,0.2
Fredricson,MUN,DEF,4.0,Available,166,2,0,1.0,0.2
Heaven,MUN,DEF,4.0,Available,169,10,2,2.5,1.9
Malacia,MUN,DEF,4.0,Available,99,2,0,0.7,0.4
B.Fernandes,MUN,MID,9.0,Available,3017,174,28,4.8,18.4
Cunha,MUN,MID,8.0,Available,2596,178,41,5.4,9.3
Rashford,MUN,MID,7.0,NotAvail,1414,95,9,3.8,0.2
Amad,MUN,MID,6.5,Available,1898,129,17,5.0,3.4
Garnacho,MUN,MID,6.5,Available,2188,106,7,2.9,0.2
Antony,MUN,MID,6.0,Available,135,8,0,1.0,0.1
Mount,MUN,MID,6.0,Available,613,25,0,1.5,0.2
Sancho,MUN,MID,6.0,Available,1754,86,3,2.8,0.1
Casemiro,MUN,MID,5.5,Available,1489,48,3,2.0,0.2
Mainoo,MUN,MID,5.0,Available,1646,42,0,1.7,0.8
Ugarte,MUN,MID,5.0,Available,1777,49,1,1.7,0.2
Collyer,MUN,MID,4.5,Available,174,6,0,1.0,0.2
Fitzgerald,MUN,MID,4.5,Available,0,0,0,0.0,0.0
J.Fletcher,MUN,MID,4.5,Available,0,0,0,0.0,0.0
Kone,MUN,MID,4.5,Available,0,0,0,0.0,0.1
Moorhouse,MUN,MID,4.5,Available,0,0,0,0.0,0.0
Højlund,MUN,FWD,6.5,Available,1998,78,8,2.4,0.8
Zirkzee,MUN,FWD,6.0,Doubtful,1385,64,6,2.0,0.7
Obi,MUN,FWD,4.5,Available,160,7,0,1.0,3.1
Wheatley,MUN,FWD,4.5,Available,0,0,0,0.0,0.2
Šeško,MUN,FWD,7.5,Available,0,0,0,0.0,4.5
Pope,NEW,GKP,5.0,Available,2520,102,2,3.6,3.6
Gillespie,NEW,GKP,4.0,Available,0,0,0,0.0,0.1
Odysseas,NEW,GKP,4.0,Available,0,0,0,0.0,0.1
Hall,NEW,DEF,5.5,Available,2188,102,11,3.8,2.4
Schär,NEW,DEF,5.5,Available,2935,118,4,3.5,2.4
Botman,NEW,DEF,5.0,Available,412,18,0,2.2,0.5
Burn,NEW,DEF,5.0,Available,3330,115,9,3.1,3.3
Livramento,NEW,DEF,5.0,Available,2835,105,6,2.8,4.0
Trippier,NEW,DEF,5.0,Available,1299,72,8,2.9,1.7
Krafth,NEW,DEF,4.5,Available,334,17,0,1.4,0.1
Lascelles,NEW,DEF,4.5,Available,0,0,0,0.0,0.1
A.Murphy,NEW,DEF,4.0,Available,0,0,0,0.0,0.8
Ashby,NEW,DEF,4.0,Available,0,0,0,0.0,0.2
Pivas,NEW,DEF,4.0,Available,0,0,0,0.0,0.2
Targett,NEW,DEF,4.0,Available,20,2,0,1.0,0.6
Gordon,NEW,MID,7.5,Doubtful,2428,124,9,3.6,2.1
Elanga,NEW,MID,7.0,Available,2496,153,15,4.0,9.2
Barnes,NEW,MID,6.5,Available,1746,130,13,3.9,0.6
Bruno G.,NEW,MID,6.5,Available,3273,135,10,3.6,1.6
J.Murphy,NEW,MID,6.5,Available,2356,159,11,4.5,2.9
Joelinton,NEW,MID,6.0,Available,2394,99,11,3.4,0.5
Tonali,NEW,MID,5.5,Available,2625,106,10,2.9,2.1
Antoñito C.,NEW,MID,5.0,Available,0,0,0,0.0,0.1
Willock,NEW,MID,5.0,Injured,1065,46,0,1.4,0.1
Hayden,NEW,MID,4.5,NotAvail,0,0,0,0.0,0.1
Kuol,NEW,MID,4.5,Available,0,0,0,0.0,0.1
L.Miley,NEW,MID,4.5,Available,304,21,1,1.5,3.0
White,NEW,MID,4.5,NotAvail,0,0,0,0.0,0.0
Isak,NEW,FWD,10.5,Available,2758,211,36,6.2,18.2
Osula,NEW,FWD,5.5,Available,124,19,1,1.4,0.2
Neave,NEW,FWD,4.5,Available,0,0,0,0.0,0.3
Ramsdale,NEW,GKP,5.0,Available,0,0,0,0.0,0.7
Sels,NFO,GKP,5.0,Available,3420,150,11,3.9,19.9
C.Miguel,NFO,GKP,4.0,Available,0,0,0,0.0,0.2
Turner,NFO,GKP,4.0,NotAvail,0,0,0,0.0,0.7
Milenković,NFO,DEF,5.5,Available,3330,145,2,3.9,9.8
Murillo,NFO,DEF,5.5,Available,3188,130,18,3.6,5.5
Aina,NFO,DEF,5.0,Available,2996,128,15,3.7,16.9
N.Williams,NFO,DEF,5.0,Available,2588,109,8,3.1,8.0
David Carmo,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
Jair Cunha,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
Morato,NFO,DEF,4.5,Available,891,36,2,1.4,0.1
O.Richards,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
Abbott,NFO,DEF,4.0,Available,0,0,0,0.0,0.2
Boly,NFO,DEF,4.0,Available,146,6,0,1.0,0.6
Gibbs-White,NFO,MID,7.5,Available,2806,154,18,4.5,5.1
Hudson-Odoi,NFO,MID,6.0,Available,2190,103,7,3.3,1.5
Anderson,NFO,MID,5.5,Available,2726,107,8,2.9,6.5
